Dia,Fecha,DiaSemana,Producto,Cantidad,Venta,Compra,Utilidad
0.0,2021-01-01,Friday,Agua Ciel  Mineralizada 600ml 308248,2.0,24.0,20.92,3.08
0.0,2021-01-01,Friday,Agua Ciel 1.5 Lts 4721,1.0,14.0,8.77,5.23
0.0,2021-01-01,Friday,Agua Ciel 1lt 310883,1.0,12.0,6.89,5.11
0.0,2021-01-01,Friday,Agua Ciel 600ml 307906,2.0,18.0,14.88,3.12
0.0,2021-01-01,Friday,Agua Ciel Mineralizada 2 Lts 305742,2.0,44.0,35.0,9.0
0.0,2021-01-01,Friday,Aliviax 550mg C/U,1.0,10.0,6.51,3.49
0.0,2021-01-01,Friday,Aluminio Alu Rey 10m,1.0,10.0,7.74,2.26
0.0,2021-01-01,Friday,Arroz 1kg,0.5,8.75,7.09,1.66
0.0,2021-01-01,Friday,Atun Nair En Agua 140g,4.0,48.0,36.24,11.76
0.0,2021-01-01,Friday,Barrita Piña 75G,3.0,30.0,25.2,4.8
0.0,2021-01-01,Friday,Bubbaxtreme Mora,1.0,4.5,3.5,1.0
0.0,2021-01-01,Friday,CIGARROS MARLBORO LARGO RUBY 20PZ,1.0,65.0,59.46,5.54
0.0,2021-01-01,Friday,CIGARROS MARLBORO ROJO CORTOS 20PZ,1.0,65.0,59.46,5.54
0.0,2021-01-01,Friday,Cepillo Dental Colgate Premier Clean 1pz,1.0,13.0,7.93,5.07
0.0,2021-01-01,Friday,Cerillo Clasico Individual,1.0,2.0,1.16,0.84
0.0,2021-01-01,Friday,Cheetos Bolita Hornedo 25g,1.0,8.0,7.7,0.3
0.0,2021-01-01,Friday,Cheetos Flamin Hot 52gr,6.0,48.0,46.2,1.7999999999999998
0.0,2021-01-01,Friday,Cheetos Nacho 52gr,2.0,16.0,15.4,0.6
0.0,2021-01-01,Friday,Cheetos Poffets Queso Palomita,1.0,8.0,7.7,0.3
0.0,2021-01-01,Friday,Cheetos Torcido Naranja 52g,3.0,24.0,23.1,0.8999999999999999
0.0,2021-01-01,Friday,Chicle General,17.0,17.0,9.52,7.48
0.0,2021-01-01,Friday,Chile En Rajas La Costeña 105 Gr,1.0,6.5,5.27,1.23
0.0,2021-01-01,Friday,Chile En Rajas La Costeña 220g,7.0,71.0,64.19,6.8100000000000005
0.0,2021-01-01,Friday,Chips Jalapeño 56g 20% Mas Producto,1.0,15.0,12.6,2.4
0.0,2021-01-01,Friday,Churrumais mas producto 60gr,1.0,8.0,6.85,1.15
0.0,2021-01-01,Friday,Cigarro Marlboro Individual 1Pza,13.0,65.0,38.61,26.39
0.0,2021-01-01,Friday,Clarasol 1 Litro,1.0,9.0,7.5,1.5
0.0,2021-01-01,Friday,Coca Cola 400ml,1.0,9.0,7.92,1.08
0.0,2021-01-01,Friday,Coca Cola 600ml,5.0,70.0,61.849999999999994,8.149999999999999
0.0,2021-01-01,Friday,Coca Lata Navidad 355ml,1.0,13.0,12.29,0.71
0.0,2021-01-01,Friday,Coca Retornable 2.5 Lts,2.0,56.0,46.06,9.94
0.0,2021-01-01,Friday,Coca Retornable 3LTS 3068,3.0,93.0,83.25,9.75
0.0,2021-01-01,Friday,Coca cola 500 ml,2.0,26.0,22.94,3.06
0.0,2021-01-01,Friday,Colgate Maxima Prot 50ml,1.0,19.0,16.19,2.81
0.0,2021-01-01,Friday,Colgate Triple Accion 100ml,1.0,30.0,25.57,4.43
0.0,2021-01-01,Friday,Cuchara Sopera Gde,1.0,9.0,6.97,2.03
0.0,2021-01-01,Friday,Doritos 3D Nacho 45gr,1.0,12.0,9.42,2.58
0.0,2021-01-01,Friday,Doritos Nacho Rec,2.0,22.0,18.84,3.16
0.0,2021-01-01,Friday,Doritos Pizzerolas 45g,1.0,11.0,9.42,1.58
0.0,2021-01-01,Friday,Electrolit Coco 625ml,1.0,20.0,15.24,4.76
0.0,2021-01-01,Friday,Electrolit Fresa 625 Ml,2.0,40.0,30.48,9.52
0.0,2021-01-01,Friday,Elite Higienico Mediano 287Hj 4rollos,4.0,74.0,64.4,9.6
0.0,2021-01-01,Friday,Envios De Recargas,8.0,8.0,0.0,8.0
0.0,2021-01-01,Friday,Epura 1 lt,1.0,10.0,6.57,3.43
0.0,2021-01-01,Friday,Epura 1.5 lt,1.0,13.0,8.07,4.93
0.0,2021-01-01,Friday,Epura 600 ml,1.0,9.0,3.77,5.23
0.0,2021-01-01,Friday,Espagueti 200 gr,6.0,33.6,30.78,2.82
0.0,2021-01-01,Friday,Fanta Jumbo Fresa 3lts 310586,1.0,31.0,25.64,5.36
0.0,2021-01-01,Friday,Fanta Jumbo Naranja 3lts 304790,1.0,31.0,27.6,3.4
0.0,2021-01-01,Friday,Fanta Naranja 600ml,2.0,24.0,21.32,2.68
0.0,2021-01-01,Friday,Flan Yoplait 100G 9709,2.0,12.0,9.8,2.2
0.0,2021-01-01,Friday,Fresca 600ml 3786,1.0,12.0,10.66,1.34
0.0,2021-01-01,Friday,Fritos Con Chorizo,4.0,40.0,34.24,5.76
0.0,2021-01-01,Friday,Fritos Sal Y Limon 52g,1.0,10.0,8.56,1.44
0.0,2021-01-01,Friday,Frutsi Frutas 250ml,1.0,8.0,7.2,0.8
0.0,2021-01-01,Friday,Frutzzo Naranjada Mineralizada 1.5 lts,1.0,20.0,15.58,4.42
0.0,2021-01-01,Friday,Gel Xtreme 250g Colores,2.0,23.0,17.08,5.92
0.0,2021-01-01,Friday,Halls De Miel,1.0,5.5,4.79,0.71
