folio,caja,usuario,dia,fecha,dia_semana,cantidad,producto,importe,valor,utilidad
45678,Caja 1,JENNY,0,2025-01-01,Wednesday,1.0,Encendedor Tokay 1pza,13.0,4.74,8.26
45679,Caja 1,JENNY,0,2025-01-01,Wednesday,1.0,Familiar XL 600hjas 4rollos,31.0,26.84,4.16
45679,Caja 1,JENNY,0,2025-01-01,Wednesday,1.0,Nescafe Dolca 22gr Sobre Grande,15.0,12.58,2.42
45680,Caja 1,JENNY,0,2025-01-01,Wednesday,2.0,TMGN COFFE Cafe De Olla Omnilife,28.0,17.7,10.3
45681,Caja 1,JENNY,0,2025-01-01,Wednesday,1.0,HUEVO CRIO CONO 30PZ,71.0,65.01,5.99
45682,Caja 1,JENNY,0,2025-01-01,Wednesday,1.0,Patrona 500 ml,21.0,17.54,3.46
45682,Caja 1,JENNY,0,2025-01-01,Wednesday,1.0,Masamex 1k,20.0,16.0,4.0
45683,Caja 1,JENNY,0,2025-01-01,Wednesday,2.0,Regalo Chico Caballero,32.0,21.4,10.6
45683,Caja 1,JENNY,0,2025-01-01,Wednesday,1.0,Engrapadora Mini Smart Art10211,45.0,35.21,9.79
45684,Caja 1,JENNY,0,2025-01-01,Wednesday,1.0,Sedalmerck Max Par,12.0,7.93,4.07
45684,Caja 1,JENNY,0,2025-01-01,Wednesday,1.0,Chile Chipotle La Morena 210g,26.0,22.16,3.84
45684,Caja 1,JENNY,0,2025-01-01,Wednesday,1.0,Mantequilla Villita 90gr,14.5,9.95,4.55
45685,Caja 1,JENNY,0,2025-01-01,Wednesday,1.0,Papel Aluminio Maxima 50mts,45.0,34.19,10.81
45686,Caja 1,JENNY,0,2025-01-01,Wednesday,5.0,Papel Crepe,37.5,28.65,8.85
45686,Caja 1,JENNY,0,2025-01-01,Wednesday,3.0,Papel China Varios Colores,12.0,3.24,8.76
45687,Caja 1,JENNY,0,2025-01-01,Wednesday,1.0,Sidral Munded Jumbo 3 Lts,41.0,32.76,8.24
45688,Caja 1,JENNY,0,2025-01-01,Wednesday,1.0,Nescafe Dolca 22gr Sobre Grande,15.0,12.58,2.42
45689,Caja 1,JENNY,0,2025-01-01,Wednesday,1.0,Chip Telcel Con Saldo Activado 50 Saldo,80.0,1.0,79.0
45690,Caja 1,JENNY,0,2025-01-01,Wednesday,1.0,Axion 720gr,30.0,24.24,5.76
45691,Caja 1,JENNY,0,2025-01-01,Wednesday,1.0,Amper Blueberry energy 473ml,19.0,15.0,4.0
45692,Caja 1,JENNY,0,2025-01-01,Wednesday,1.0,Premier Higienico 425 Hjs,31.0,24.76,6.24
45692,Caja 1,JENNY,0,2025-01-01,Wednesday,1.0,Saladita 186GM,20.0,17.08,2.92
45692,Caja 1,JENNY,0,2025-01-01,Wednesday,1.0,Mantecadas Vainilla C/6pzas 187.5gr,30.0,24.47,5.53
45693,Caja 1,JENNY,0,2025-01-01,Wednesday,1.0,Bolsa Asa Grande venta individual 1pz,2.0,0.81,1.19
45694,Caja 1,JENNY,0,2025-01-01,Wednesday,1.0,Chile Chipotles Costeña 105g,14.0,12.01,1.99
45695,Caja 1,JENNY,0,2025-01-01,Wednesday,1.0,Peñafiel Agua Mineralizada 600,19.0,14.11,4.89
45696,Caja 1,JENNY,0,2025-01-01,Wednesday,1.0,Pepsi 2Lt 127,34.0,27.06,6.94
45696,Caja 1,JENNY,0,2025-01-01,Wednesday,1.0,Fritos Sal Y Limon 60g,15.0,12.84,2.16
45697,Caja 1,JENNY,0,2025-01-01,Wednesday,1.0,Axion Liquido 400ml,21.0,17.23,3.77
45697,Caja 1,JENNY,0,2025-01-01,Wednesday,4.0,Bolsa Basura Grande 1pza,36.0,27.16,8.84
