Cantidad,Fecha,Producto,Venta,Compra,Utilidad
,21/02/2024,,57.00,49.90,7.10
1.00,,Ariel Oxianillos De 500gm,28.00,25.93,2.07
1.00,,Axion 720gr,29.00,23.97,5.03
,21/02/2024,,53.00,43.79,9.21
1.00,,Whiskas 1kg,53.00,43.79,9.21
,21/02/2024,,11.00,6.50,4.50
1.00,,Yomi Lala Fresa 190ml,11.00,6.50,4.50
,21/02/2024,,35.50,28.28,7.22
1.00,,Trikitrakes 85g,18.00,14.28,3.72
1.00,,Yoghurt Yoplait Piña Coco 330gr 9111,17.50,14.00,3.50
,21/02/2024,,202.00,186.23,15.77
1.00,,Servicio Domicilio,5.00,0.00,5.00
1.00,,COCA RETORNABLE 3LTS PAQ 6PZA,197.00,186.23,10.77
,21/02/2024,,97.00,81.34,15.66
6.00,,Huevo Crio Individual 1pza,18.00,11.82,6.18
1.00,,HUEVO CRIO CONO 30PZ,64.00,59.16,4.84
0.31,,Salchijocho Pavo Any Agranel,15.00,10.36,4.64
,21/02/2024,,64.00,59.16,4.84
1.00,,HUEVO CRIO CONO 30PZ,64.00,59.16,4.84
,21/02/2024,,11.00,6.84,4.16
1.00,,Alpura Chocolate 200ml Chocopower,11.00,6.84,4.16
,21/02/2024,,51.00,41.82,9.18
1.00,,Donas 6p Bimbo 158g,22.00,18.04,3.96
1.00,,Mantecadas Vainilla C/6pzas 187.5gr,29.00,23.78,5.22
,21/02/2024,,30.00,23.79,6.21
2.00,,Vaso Individual del #8 1pza,2.00,0.80,1.20
1.00,,coca cola 1.350 ml,28.00,22.99,5.01
,21/02/2024,,2.00,0.22,1.78
1.00,,COPIA CREDENCIAL,2.00,0.22,1.78
,21/02/2024,,34.00,22.11,11.89
1.00,,Valle Frut Citrus 2 Litros 330461,30.00,20.51,9.49
4.00,,Vaso Individual del #8 1pza,4.00,1.60,2.40
,21/02/2024,,3.50,0.45,3.05
1.00,,Copias Tamaño Carta (hojas Blancas Individual),1.50,0.23,1.27
1.00,,COPIA CREDENCIAL,2.00,0.22,1.78
,21/02/2024,,40.00,32.22,7.78
0.37,,Queso Fresco,40.00,32.22,7.78
,21/02/2024,,120.00,100.06,19.94
0.64,,Queso De Hebra,80.00,67.84,12.16
0.37,,Queso Fresco,40.00,32.22,7.78
,21/02/2024,,50.00,34.00,16.00
2.00,,Mariposa Negro 601,50.00,34.00,16.00
,21/02/2024,,6.00,4.63,1.37
1.00,,Tang De Jamaica 25gm,6.00,4.63,1.37
,21/02/2024,,8.00,0.88,7.12
4.00,,COPIA CREDENCIAL,8.00,0.88,7.12
,21/02/2024,,452.00,407.41,44.59
2.00,,Servicio Domicilio,10.00,0.00,10.00
1.00,,COCA COLA 2.5LT RET PAQ 8PZ,245.00,221.18,23.82
1.00,,COCA RETORNABLE 3LTS PAQ 6PZA,197.00,186.23,10.77
,21/02/2024,,39.50,31.64,7.86
1.00,,Yoghurt Yoplait Piña Coco 330gr 9111,17.50,14.00,3.50
1.00,,Sponch 120gr,22.00,17.64,4.36
,21/02/2024,,34.00,24.02,9.98
6.00,,Huevo Crio Individual 1pza,18.00,11.82,6.18
1.00,,Marias Gamesa 1pz,16.00,12.20,3.80
,21/02/2024,,997.50,976.50,21.00
1050.00,,MASTERXTREME MAYOREO RECARGA,997.50,976.50,21.00
,21/02/2024,,1496.25,1464.75,31.50
1575.00,,MASTERXTREME MAYOREO RECARGA,1496.25,1464.75,31.50
,21/02/2024,,213.00,194.05,18.95
198.00,,Abono Clientes Pay Joy,198.00,194.04,3.96
1.00,,Comision Pay Joy,15.00,0.01,14.99
,21/02/2024,,25.00,20.00,5.00
1.00,,Salchicha Pavo 266g 976,25.00,20.00,5.00
,21/02/2024,,20.00,15.96,4.04
1.00,,Principe Limon +2 126g,20.00,15.96,4.04
,21/02/2024,,38.00,33.07,4.93
1.00,,Bombon Bianchi Bolsa 420g,38.00,33.07,4.93
,21/02/2024,,202.00,186.23,15.77
1.00,,Servicio Domicilio,5.00,0.00,5.00
1.00,,COCA RETORNABLE 3LTS PAQ 6PZA,197.00,186.23,10.77
,21/02/2024,,39.00,29.99,9.01
1.00,,Espagueti 200 gr,9.00,6.65,2.35
1.00,,Mediacrema Lala 250g,14.00,12.14,1.86
1.00,,Pure De Tomate Del Fuerte 345g,16.00,11.20,4.80
,21/02/2024,,26.00,19.00,7.00
1.00,,Ensueño Max 850 ml Fresc Primaveral,26.00,19.00,7.00
,21/02/2024,,41.00,28.30,12.70
1.00,,Cuchara Sopera Grande,15.00,9.76,5.24
1.00,,Plato Largo Convermex 855,26.00,18.54,7.46
,21/02/2024,,40.50,16.74,23.76
0.50,,Arroz 1kg,10.50,9.04,1.46
5.00,,Canela Sobre,30.00,7.70,22.30
,21/02/2024,,48.00,37.67,10.33
1.00,,Fresca Jumbo 3lts,38.00,31.17,6.83
1.00,,Cerillo Flama Grande,7.00,5.30,1.70
3.00,,Vaso Individual del #8 1pza,3.00,1.20,1.80
,21/02/2024,,30.00,25.44,4.56
0.24,,Queso De Hebra,30.00,25.44,4.56
,21/02/2024,,12.00,10.08,1.92
1.00,,Runners Fuego 62g,12.00,10.08,1.92
,21/02/2024,,56.00,42.92,13.08
1.00,,Pepsi Jumbo 3Lt,37.00,27.67,9.33
1.00,,Emperador Piruetas 115g 101112,19.00,15.25,3.75
,21/02/2024,,31.00,22.85,8.15
5.00,,Huevo Crio Individual 1pza,15.00,9.85,5.15
1.00,,Yoghurt Placer Cookies & Cream 220g 9594,16.00,13.00,3.00
,21/02/2024,,4.00,3.36,0.64
4.00,,Bombon Individual,4.00,3.36,0.64
,21/02/2024,,24.00,20.71,3.29
1.00,,Vick Vaporub 12g,24.00,20.71,3.29
,21/02/2024,,5.00,4.20,0.80
5.00,,Bombon Individual,5.00,4.20,0.80
,21/02/2024,,31.00,25.91,5.09
1.00,,Leche Nito Bebida Chocolate 236G,13.00,10.66,2.34
1.00,,Maravillas Gamesa 116g,18.00,15.25,2.75
,21/02/2024,,5.00,3.76,1.24
1.00,,Raidolito Verde 1par pza Indiv.,5.00,3.76,1.24
,21/02/2024,,1.50,0.89,0.61
1.00,,Bubbaloo Mora Azul 5.1gr,1.50,0.89,0.61
,21/02/2024,,26.00,20.67,5.33
1.00,,Coca Cola Vidrio 1 1/4,24.00,19.87,4.13
2.00,,Vaso Individual del #8 1pza,2.00,0.80,1.20
,21/02/2024,,74.00,62.70,11.30
1.00,,Pan Molido Crujiente 175g,28.00,22.96,5.04
1.00,,HUEVO CRIO 1/2 CONO,32.00,29.58,2.42
0.50,,Harina Selecta 1kg,11.00,8.41,2.59
1.00,,Paleta cupido vero fresa,3.00,1.75,1.25
,21/02/2024,,12.00,7.88,4.12
4.00,,Huevo Crio Individual 1pza,12.00,7.88,4.12
,21/02/2024,,19.00,15.20,3.80
1.00,,Coca Cola 600ml,19.00,15.20,3.80
,21/02/2024,,26.00,20.75,5.25
1.00,,Yogurth Yoplait Fresa 470gr 9757,23.00,19.00,4.00
1.00,,Paleta cupido vero fresa,3.00,1.75,1.25
,21/02/2024,,202.00,186.23,15.77
1.00,,Servicio Domicilio,5.00,0.00,5.00
1.00,,COCA RETORNABLE 3LTS PAQ 6PZA,197.00,186.23,10.77
,21/02/2024,,25.00,22.79,2.21
1.00,,Lala deslactosada 1lit,25.00,22.79,2.21
,21/02/2024,,38.00,31.04,6.96
1.00,,Coca Retornable 3LTS 3068,38.00,31.04,6.96
,21/02/2024,,4.50,2.65,1.85
1.00,,Clorets Menta 2.8gr 2Pastillas,1.50,0.68,0.82
1.00,,PALETA CUPIDO CHAMOY VERO,3.00,1.97,1.03
,21/02/2024,,11.00,6.50,4.50
1.00,,Yomi Lala Fresa 190ml,11.00,6.50,4.50
,21/02/2024,,17.00,13.69,3.31
1.00,,Sabritas Receta Crujiente Flamin Hot 49gr,17.00,13.69,3.31
,21/02/2024,,40.00,31.84,8.16
1.00,,Coca Retornable 3LTS 3068,38.00,31.04,6.96
2.00,,Vaso Individual del #8 1pza,2.00,0.80,1.20
,21/02/2024,,60.00,48.28,11.72
1.00,,Sidral Mundet 600ml,18.00,13.57,4.43
1.00,,Horchata Flor De Tabasco 1 lt,42.00,34.71,7.29
,21/02/2024,,36.00,24.42,11.58
2.00,,Cafezzino Plus (cafe Omnilife) sobre,36.00,24.42,11.58
,21/02/2024,,1.50,0.23,1.27
1.00,,Copias Tamaño Carta (hojas Blancas Individual),1.50,0.23,1.27
,21/02/2024,,24.00,19.87,4.13
1.00,,Coca Cola Vidrio 1 1/4,24.00,19.87,4.13
,21/02/2024,,22.00,17.50,4.50
1.00,,disfruta chocogalleta platano 307g,22.00,17.50,4.50
,21/02/2024,,6.00,5.04,0.96
6.00,,Bombon Individual,6.00,5.04,0.96
,21/02/2024,,549.00,399.00,150.00
1.00,,CORN GT30 355118550000716 TAVO 050224,549.00,399.00,150.00
,21/02/2024,,23.00,13.44,9.56
1.00,,Caja Vacia De Huevo,6.00,0.00,6.00
1.00,,Barritas Fresa Mas Galleta 75g,17.00,13.44,3.56
,21/02/2024,,51.00,36.83,14.17
7.00,,Huevo Crio Individual 1pza,21.00,13.79,7.21
1.00,,VOGUE 400HJ PAQ 4PZAS,30.00,23.04,6.96
,21/02/2024,,13.00,2.22,10.78
1.00,,IMPRESION BLANCO Y NEGRO,3.00,0.22,2.78
,21/02/2024,,49.00,40.47,8.53
1.00,,Fideo #2 La Moderna,9.00,6.55,2.45
0.32,,Queso De Hebra,40.00,33.92,6.08
,21/02/2024,,97.28,70.85,26.43
1.00,,Ajo 1pza,7.00,3.60,3.40
1.00,,Jamaica bolsa 100gr,21.00,13.20,7.80
0.24,,Chuleta Aumada Salmi,35.28,26.88,8.40
1.00,,Vive 100 Guarana 300ml,14.00,10.00,4.00
1.00,,Avena Quaker 3min 288gr,20.00,17.17,2.83
,21/02/2024,,32.00,25.45,6.55
1.00,,Fabuloso 500g Lavanda,19.00,14.79,4.21
1.00,,Leche Nito Bebida Chocolate 236G,13.00,10.66,2.34
,21/02/2024,,22.00,17.64,4.36
1.00,,Sponch 120gr,22.00,17.64,4.36
,21/02/2024,,8.00,6.42,1.58
1.00,,Halls De Miel,8.00,6.42,1.58
,21/02/2024,,10.00,6.90,3.10
1.00,,Bubba Xtreme Picamix Fuego 1Paleta,5.00,3.45,1.55
1.00,,Bubbaloo Paleta Xtreme Mora 1Pz,5.00,3.45,1.55
,21/02/2024,,54.00,43.50,10.50
0.50,,Queso Fresco,54.00,43.50,10.50
,21/02/2024,,50.00,42.40,7.60
0.40,,Queso De Hebra,50.00,42.40,7.60
,21/02/2024,,8.00,6.56,1.44
1.00,,Rebanadas Bimbo,8.00,6.56,1.44
,21/02/2024,,55.00,40.00,15.00
1.00,,Garnier Tinte Nutrisse Fresa 5562,55.00,40.00,15.00
,21/02/2024,,5.00,3.45,1.55
1.00,,Bubbaloo Paleta Xtreme Mora 1Pz,5.00,3.45,1.55
,21/02/2024,,3.00,1.98,1.02
1.00,,Clorets Plus 4pastillas,3.00,1.98,1.02
,21/02/2024,,31.00,21.96,9.04
1.00,,Power Frutas 1 Lt 317660,31.00,21.96,9.04
,21/02/2024,,19.00,13.90,5.10
1.00,,Salsa Valentina 370g,19.00,13.90,5.10
,21/02/2024,,25.00,21.25,3.75
0.50,,Arroz 1kg,10.50,9.04,1.46
1.00,,Princesa En Barra 350gr,14.50,12.21,2.29
,21/02/2024,,23.00,18.48,4.52
1.00,,Pepsi 1.5Lt,23.00,18.48,4.52
,21/02/2024,,17.00,14.28,2.72
1.00,,Chips Fuego 46g,17.00,14.28,2.72
,21/02/2024,,12.00,7.88,4.12
4.00,,Huevo Crio Individual 1pza,12.00,7.88,4.12
,21/02/2024,,3.00,1.97,1.03
1.00,,Huevo Crio Individual 1pza,3.00,1.97,1.03
,21/02/2024,,16.00,12.84,3.16
1.00,,Tostitos Salsa Verde 70g,16.00,12.84,3.16
,21/02/2024,,40.00,32.18,7.82
2.00,,Fibra Scotch Brite Gigante,40.00,32.18,7.82
,21/02/2024,,18.00,13.57,4.43
1.00,,Fanta Fresa 600ml,18.00,13.57,4.43
,21/02/2024,,12.00,7.44,4.56
2.00,,Cigarro Marlboro Individual 1Pza,12.00,7.44,4.56
,21/02/2024,,30.00,25.44,4.56
0.24,,Queso De Hebra,30.00,25.44,4.56
,21/02/2024,,46.00,39.09,6.91
1.00,,Valle Frut Citrus 600ML 330683,16.00,14.92,1.08
0.28,,Queso Fresco,30.00,24.17,5.83
,21/02/2024,,387.00,364.70,22.30
1.00,,Servicio Domicilio,5.00,0.00,5.00
1.00,,COCA COLA 600ML PAQ 24PZ,382.00,364.70,17.30
,21/02/2024,,30.00,25.44,4.56
0.24,,Queso De Hebra,30.00,25.44,4.56
,21/02/2024,,21.00,16.68,4.32
1.00,,Mini Chokis 43g,10.00,8.48,1.52
1.00,,Concha vainilla 1pz 60g,11.00,8.20,2.80
,21/02/2024,,549.00,330.00,219.00
1.00,,Nokia 110 290124 KIT,549.00,330.00,219.00
,21/02/2024,,134.00,105.82,28.18
0.50,,Queso Fresco,54.00,43.50,10.50
1.00,,Submarinos Chocolate,22.00,16.41,5.59
1.00,,Valle Frut Citrus 3lt,36.00,29.11,6.89
1.00,,Principe Chocolate Blanco+2,22.00,16.80,5.20
,21/02/2024,,100.00,82.68,17.32
0.40,,Queso De Hebra,50.00,42.40,7.60
0.46,,Queso Fresco,50.00,40.28,9.72
,21/02/2024,,65.00,52.56,12.44
1.00,,Coca Cola 600ml,19.00,15.20,3.80
1.00,,Premier Higienico 425 Hjs,31.00,24.91,6.09
1.00,,Nito 1Pza 62g,15.00,12.45,2.55
,21/02/2024,,500.00,468.00,32.00
2.00,,Servicio Domicilio,10.00,0.00,10.00
2.00,,COCA COLA 2.5LT RET PAQ 8PZ,490.00,468.00,22.00
,21/02/2024,,15.00,12.69,2.31
0.23,,Jamon Rebanado Suly 1kg,15.00,12.69,2.31
,21/02/2024,,10.00,7.15,2.85
1.00,,Prestobarba Permasharp,10.00,7.15,2.85
,21/02/2024,,184.00,171.04,12.96
4.00,,Envios De Recargas,4.00,0.04,3.96
180.00,,RECARGAS XTREME (MULTICEL-MINISUPER),180.00,171.00,9.00
,21/02/2024,,170.00,84.17,85.83
1.00,,Mouse Optico Inalambrico Vorago 102,170.00,84.17,85.83
,21/02/2024,,34.00,28.56,5.44
2.00,,Chips Fuego 46g,34.00,28.56,5.44
,21/02/2024,,24.00,19.87,4.13
1.00,,Coca Cola Vidrio 1 1/4,24.00,19.87,4.13
,21/02/2024,,37.05,31.04,6.01
1.00,,Coca Retornable 3LTS 3068,37.05,31.04,6.01
,21/02/2024,,109.00,86.58,22.42
1.00,,Mediacrema Lala 480ml,26.00,21.99,4.01
1.00,,Sidral Munded Jumbo 3 Lts,38.00,31.17,6.83
1.00,,Chile Chipotle Morena 100gr,15.00,12.70,2.30
0.61,,Salchijocho Pavo Any Agranel,30.00,20.72,9.28
,21/02/2024,,30.00,20.51,9.49
1.00,,Valle Frut Citrus 2 Litros 330461,30.00,20.51,9.49
,21/02/2024,,150.00,60.00,90.00
1.00,,Turbo Cargador V8 Negro 1Hora 7503027214007,100.00,39.00,61.00
1.00,,Cable USB2.0 V8 1HORA,50.00,21.00,29.00
,21/02/2024,,256.00,236.64,19.36
4.00,,HUEVO CRIO CONO 30PZ,256.00,236.64,19.36
,21/02/2024,,40.00,34.13,5.87
1.00,,Activia Ciruela Pasa 250g,16.00,14.13,1.87
1.00,,Yoplait Licuado De Fresa 470gm 9534,24.00,20.00,4.00
,21/02/2024,,5.00,2.50,2.50
1.00,,Hielo Individual,5.00,2.50,2.50
,21/02/2024,,23.00,18.04,4.96
1.00,,Panquecito Gotitas Chocolate 2pza 140g,23.00,18.04,4.96
,21/02/2024,,419.00,215.00,204.00
1.00,,Senwa Disco S301A 290124 KIT,419.00,215.00,204.00
,21/02/2024,,16.00,12.04,3.96
1.00,,Agua Ciel 1.5 Lts 4721,16.00,12.04,3.96
,21/02/2024,,50.00,21.00,29.00
1.00,,Cable USB2.0 V8 1HORA,50.00,21.00,29.00
,21/02/2024,,23.00,18.48,4.52
1.00,,Pepsi 1.5Lt,23.00,18.48,4.52
,21/02/2024,,4.50,2.04,2.46
3.00,,Clorets Menta 2.8gr 2Pastillas,4.50,2.04,2.46
,21/02/2024,,16.00,12.84,3.16
1.00,,Tostitos Salsa Verde 70g,16.00,12.84,3.16
,21/02/2024,,9.50,1.37,8.13
5.00,,Copias Tamaño Carta (hojas Blancas Individual),7.50,1.15,6.35
1.00,,COPIA CREDENCIAL,2.00,0.22,1.78
,21/02/2024,,32.00,24.60,7.40
1.00,,Totopos 280G Normal,32.00,24.60,7.40
,21/02/2024,,17.00,13.69,3.31
1.00,,Sabritas Flamin Hot 45gm,17.00,13.69,3.31
,21/02/2024,,11.50,9.70,1.80
