Documento,Cantidad,Fecha,Producto,Precio,Total
Ticket,,21/02/2024,,,
PZA,1,,Ariel Oxianillos De 500gm,28,28
PZA,1,,Axion 720gr,29,29
Ticket,,21/02/2024,,,
PZA,1,,Whiskas 1kg,53,53
Ticket,,21/02/2024,,,
PZA,1,,Yomi Lala Fresa 190ml,11,11
Ticket,,21/02/2024,,,
PZA,1,,Trikitrakes 85g,18,18
PZA,1,,Yoghurt Yoplait Piña Coco 330gr 9111,17.5,17.5
Ticket,,21/02/2024,,,
PZA,1,,Servicio Domicilio,5,5
PZA,1,,COCA RETORNABLE 3LTS PAQ 6PZA,197,197
Ticket,,21/02/2024,,,
PZA,1,,HUEVO CRIO CONO 30PZ,64,64
PZA,0.31,,Salchijocho Pavo Any Agranel,49,15
PZA,6,,Huevo Crio Individual 1pza,3,18
Ticket,,21/02/2024,,,
PZA,1,,HUEVO CRIO CONO 30PZ,64,64
Ticket,,21/02/2024,,,
PZA,1,,Alpura Chocolate 200ml Chocopower,11,11
Ticket,,21/02/2024,,,
PZA,1,,Donas 6p Bimbo 158g,22,22
PZA,1,,Mantecadas Vainilla C/6pzas 187.5gr,29,29
Ticket,,21/02/2024,,,
PZA,2,,Vaso Individual del #8 1pza,1,2
PZA,1,,coca cola 1.350 ml,28,28
Ticket,,21/02/2024,,,
PZA,1,,COPIA CREDENCIAL,2,2
Ticket,,21/02/2024,,,
PZA,4,,Vaso Individual del #8 1pza,1,4
PZA,1,,Valle Frut Citrus 2 Litros 330461,30,30
Ticket,,21/02/2024,,,
PZA,1,,Copias Tamaño Carta (hojas Blancas Individual),1.5,1.5
PZA,1,,COPIA CREDENCIAL,2,2
Ticket,,21/02/2024,,,
PZA,0.37,,Queso Fresco,108,40
Ticket,,21/02/2024,,,
,,,,,
PZA,0.64,,Queso De Hebra,125,80
PZA,0.37,,Queso Fresco,108,40
Ticket,,21/02/2024,,,
PZA,2,,Mariposa Negro 601,25,50
Ticket,,21/02/2024,,,
PZA,1,,Tang De Jamaica 25gm,6,6
Ticket,,21/02/2024,,,
PZA,4,,COPIA CREDENCIAL,2,8
Ticket,,21/02/2024,,,
PZA,2,,Servicio Domicilio,5,10
PZA,1,,COCA RETORNABLE 3LTS PAQ 6PZA,197,197
PZA,1,,COCA COLA 2.5LT RET PAQ 8PZ,245,245
Ticket,,21/02/2024,,,
