folio,caja,usuario,fecha,cantidad,producto,importe,valor,utilidad
1,Caja 1,admin,21/02/2024,,,57.00,49.90,7.10
,,,,1.00,Ariel Oxianillos De 500gm,28.00,25.93,2.07
,,,,1.00,Axion 720gr,29.00,23.97,5.03
2,Caja 1,admin,21/02/2024,,,53.00,43.79,9.21
,,,,1.00,Whiskas 1kg,53.00,43.79,9.21
3,Caja 1,admin,21/02/2024,,,11.00,6.50,4.50
,,,,1.00,Yomi Lala Fresa 190ml,11.00,6.50,4.50
4,Caja 1,admin,21/02/2024,,,35.50,28.28,7.22
,,,,1.00,Trikitrakes 85g,18.00,14.28,3.72
,,,,1.00,Yoghurt Yoplait Piña Coco 330gr 9111,17.50,14.00,3.50
5,Caja 1,admin,21/02/2024,,,202.00,186.23,15.77
,,,,1.00,Servicio Domicilio,5.00,0.00,5.00
,,,,1.00,COCA RETORNABLE 3LTS PAQ 6PZA,197.00,186.23,10.77
6,Caja 1,admin,21/02/2024,,,97.00,81.34,15.66
,,,,6.00,Huevo Crio Individual 1pza,18.00,11.82,6.18
,,,,1.00,HUEVO CRIO CONO 30PZ,64.00,59.16,4.84
,,,,0.31,Salchijocho Pavo Any Agranel,15.00,10.36,4.64
7,Caja 1,admin,21/02/2024,,,64.00,59.16,4.84
,,,,1.00,HUEVO CRIO CONO 30PZ,64.00,59.16,4.84
8,Caja 1,admin,21/02/2024,,,11.00,6.84,4.16
,,,,1.00,Alpura Chocolate 200ml Chocopower,11.00,6.84,4.16
9,Caja 1,wendy,21/02/2024,,,51.00,41.82,9.18
,,,,1.00,Donas 6p Bimbo 158g,22.00,18.04,3.96
,,,,1.00,Mantecadas Vainilla C/6pzas 187.5gr,29.00,23.78,5.22
10,Caja 1,admin,21/02/2024,,,30.00,23.79,6.21
,,,,2.00,Vaso Individual del #8 1pza,2.00,0.80,1.20
,,,,1.00,coca cola 1.350 ml,28.00,22.99,5.01
11,Caja Icsi,admin,21/02/2024,,,2.00,0.22,1.78
,,,,1.00,COPIA CREDENCIAL,2.00,0.22,1.78
12,Caja 1,admin,21/02/2024,,,34.00,22.11,11.89
,,,,1.00,Valle Frut Citrus 2 Litros 330461,30.00,20.51,9.49
,,,,4.00,Vaso Individual del #8 1pza,4.00,1.60,2.40
13,Caja Icsi,admin,21/02/2024,,,3.50,0.45,3.05
,,,,1.00,Copias Tamaño Carta (hojas Blancas Individual),1.50,0.23,1.27
,,,,1.00,COPIA CREDENCIAL,2.00,0.22,1.78
14,Caja 1,admin,21/02/2024,,,40.00,32.22,7.78
,,,,0.37,Queso Fresco,40.00,32.22,7.78
15,Caja 1,admin,21/02/2024,,,120.00,100.06,19.94
,,,,0.64,Queso De Hebra,80.00,67.84,12.16
,,,,0.37,Queso Fresco,40.00,32.22,7.78
16,Caja 1,admin,21/02/2024,,,50.00,34.00,16.00
,,,,2.00,Mariposa Negro 601,50.00,34.00,16.00
17,Caja 1,admin,21/02/2024,,,6.00,4.63,1.37
,,,,1.00,Tang De Jamaica 25gm,6.00,4.63,1.37
18,Caja Icsi,JENNY,21/02/2024,,,8.00,0.88,7.12
,,,,4.00,COPIA CREDENCIAL,8.00,0.88,7.12
19,Caja 1,admin,21/02/2024,,,452.00,407.41,44.59
,,,,2.00,Servicio Domicilio,10.00,0.00,10.00
,,,,1.00,COCA COLA 2.5LT RET PAQ 8PZ,245.00,221.18,23.82
,,,,1.00,COCA RETORNABLE 3LTS PAQ 6PZA,197.00,186.23,10.77
20,Caja 1,admin,21/02/2024,,,39.50,31.64,7.86
,,,,1.00,Yoghurt Yoplait Piña Coco 330gr 9111,17.50,14.00,3.50
,,,,1.00,Sponch 120gr,22.00,17.64,4.36
21,Caja 1,admin,21/02/2024,,,34.00,24.02,9.98
,,,,6.00,Huevo Crio Individual 1pza,18.00,11.82,6.18
,,,,1.00,Marias Gamesa 1pz,16.00,12.20,3.80
22,Caja Icsi,admin,21/02/2024,,,997.50,976.50,21.00
,,,,1050.00,MASTERXTREME MAYOREO RECARGA,997.50,976.50,21.00
23,Caja Icsi,admin,21/02/2024,,,1496.25,1464.75,31.50
,,,,1575.00,MASTERXTREME MAYOREO RECARGA,1496.25,1464.75,31.50
30,Caja Icsi,admin,21/02/2024,,,213.00,194.05,18.95
,,,,198.00,Abono Clientes Pay Joy,198.00,194.04,3.96
,,,,1.00,Comision Pay Joy,15.00,0.01,14.99
24,Caja 1,admin,21/02/2024,,,25.00,20.00,5.00
,,,,1.00,Salchicha Pavo 266g 976,25.00,20.00,5.00
25,Caja 1,admin,21/02/2024,,,20.00,15.96,4.04
,,,,1.00,Principe Limon +2 126g,20.00,15.96,4.04
26,Caja 1,wendy,21/02/2024,,,38.00,33.07,4.93
,,,,1.00,Bombon Bianchi Bolsa 420g,38.00,33.07,4.93
